"genotype","food","no-fly","tube-w","tube+fly","fly_total","fly_per","BCA","mBCA","TAG","GLC","GLY","NADH","NAD+","NADPH","NADP+","NADH/BCA","NAD+/BCA","NADPH/BCA","NADP+/BCA","TAG/BCA","Glc/BCA","Glc/TAG","GLY/BCA"
"00","IV",10,1.026,1.0334,7.400000000000073,0.7400000000000073,1353.167,1244.075,65.61,269.305,170.786,3.786,10.307,0.707,0.216,0.003043224885959448,0.008284870285151619,0.0005682937121958081,0.0001736229728915057,0.05273797801579486,0.2164700681229026,4.104633440024387,0.1372795048530032
"00","IV",10,1.026,1.0334,7.400000000000073,0.7400000000000073,1134.982,1244.075,54.285,218.961,146.068,3.177,11.247,0.633,0.217,0.002553704559612564,0.009040451741253541,0.0005088117677792737,0.0001744267829511886,0.04363482908988606,0.1760030544782268,4.03354517822603,0.1174109277977614
"00","IV",10,1.026,1.0334,7.400000000000073,0.7400000000000073,1184.57,1122.586,60.142,222.834,220.224,4.246,8.379,0.712,0.241,0.003782338279650735,0.007464016119923106,0.0006342498481185406,0.0002146828839839442,0.0535745145583501,0.1985006048534366,3.705131189518141,0.196175615943901
"00","IV",10,1.026,1.0334,7.400000000000073,0.7400000000000073,1060.601,1122.586,49.989,181.688,276.404,3.827,8.954000000000001,0.65,0.229,0.003409092933637156,0.007976226320299738,0.0005790202265127126,0.0002039932798021711,0.04453021862022152,0.1618477337148334,3.634559603112685,0.246220779521569
"00","V",14,1.0277,1.0384,10.69999999999993,0.7642857142857095,1660.609,1536.64,629.1420000000001,630.424,867.4160000000001,5.358,19.383,0.596,0.784,0.00348682840483132,0.01261388483965015,0.0003878592253227821,0.000510204081632653,0.4094270616409829,0.4102613494377342,1.00203769578251,0.5644887546855477
"00","V",14,1.0277,1.0384,10.69999999999993,0.7642857142857095,1412.672,1536.64,556.504,485.202,730.338,4.875,17.782,0.55,0.746,0.003172506247396918,0.01157200124947938,0.000357923781757601,0.0004854748021657642,0.3621563931695127,0.3157551541024573,0.8718751347699207,0.4752824344023323
"00","V",14,1.0277,1.0384,10.69999999999993,0.7642857142857095,1791.189,1635.815,659.603,550.552,683.146,6.144,19.264,0.667,0.704,0.003755925945171061,0.0117763928072551,0.0004077478198940589,0.0004303665145508508,0.4032259149109159,0.3365612859644886,0.8346717646826956,0.4176181291894254
"00","V",14,1.0277,1.0384,10.69999999999993,0.7642857142857095,1480.441,1635.815,620.55,473.1,591.0119999999999,5.461,16.398,0.593,0.652,0.00333839706812812,0.01002436094546144,0.0003625104305804752,0.0003985780788169811,0.379352188358708,0.2892136335710334,0.7623882040125696,0.3612951342297264
"02","IV",15,1.0345,1.0472,12.69999999999993,0.8466666666666622,1653.997,1511.02,125.361,503.597,294.382,8.811999999999999,15.168,1.139,1.138,0.00583182221280989,0.01003825230638906,0.0007537954494315098,0.0007531336448227025,0.08296448756469141,0.3332828155815277,4.017174400331841,0.1948233643499094
"02","IV",15,1.0345,1.0472,12.69999999999993,0.8466666666666622,1368.043,1511.02,102.71,395.648,432.584,8.051,15.058,1.019,1.122,0.005328188905507538,0.00996545379942026,0.0006743788963746344,0.0007425447710817859,0.06797395137059734,0.261841669865389,3.852088404244962,0.2862860848962952
"02","IV",15,1.0151,1.0276,12.50000000000018,0.8333333333333451,1530.029,1392.837,160.899,580.08,276.404,9.807,15.245,1.239,1.226,0.007041024900975491,0.01094528649080977,0.0008895513258191734,0.0008802178575095291,0.1155189013502657,0.4164737151583423,3.605243040665263,0.1984467672814551
"02","IV",15,1.0151,1.0276,12.50000000000018,0.8333333333333451,1255.645,1392.837,120.284,437.278,414.607,9.007,14.264,1.172,1.166,0.006466657620381997,0.01024096861298199,0.0008414480660694682,0.0008371403114650171,0.08635899247363475,0.3139477196542022,3.635379601609524,0.2976708688812834
"02","V",15,1.0103,1.0232,12.90000000000013,0.8600000000000089,1867.223,1698.626,777.933,1055.44,829.213,8.997,18.735,0.869,0.82,0.00529663386760829,0.01102950266862747,0.0005115899556465049,0.0004827431111969321,0.4579778008814183,0.6213492552215733,1.356723522462731,0.488166906664563
"02","V",15,1.0103,1.0232,12.90000000000013,0.8600000000000089,1530.029,1698.626,664.289,845.352,1005.618,8.512000000000001,18.941,0.782,0.784,0.005011108978668642,0.01115077715753792,0.0004603720889707328,0.0004615495111931644,0.3910743153584132,0.4976681152884743,1.272566608810322,0.5920184902385811
"02","V",15,1.0116,1.0237,12.1,0.8066666666666666,2201.112,2025.903,750.206,1017.683,1058.427,7.221,17.535,0.826,0.8010000000000001,0.003564336495873692,0.008655399592181857,0.0004077194219071693,0.0003953792456993252,0.3703069692872759,0.5023355017490966,1.356538070876532,0.5224470273255926
"02","V",15,1.0116,1.0237,12.1,0.8066666666666666,1850.694,2025.903,638.905,803.2380000000001,1185.393,6.248,17.592,0.744,0.749,0.003084056837864399,0.00868353519393574,0.0003672436439454406,0.0003697116791870094,0.3153680112029055,0.3964839382734514,1.257210383390332,0.585118339821798
"20","IV",15,1.0422,1.0532,10.9999999999999,0.7333333333333266,1850.694,1624.245,285.477,529.252,568.539,8.632,13.77,1.201,1.037,0.005314469184144018,0.008477785063213986,0.0007394204692026142,0.0006384504800692013,0.1757598145599956,0.3258449310294937,1.853921681956865,0.3500327844629351
