Mito,Geno,Sex,BioRep,Detector,Ct,Repeat
OR,del,F,2,DNAJH,30.1487,2
OR,del,F,2,dSir2,36.8337,2
OR,del,F,2,GAPDH,17.7752,2
Si1,dup,M,1,DNAJH,24.7677,2
Si1,dup,M,1,dSir2,24.7939,2
Si1,dup,M,1,GAPDH,18.8243,2
Si1,dup,M,2,DNAJH,25.0,2
Si1,dup,M,2,dSir2,22.0966,2
Si1,dup,M,2,GAPDH,17.4179,2
Si1,dup,F,1,DNAJH,23.9932,2
Si1,dup,F,1,dSir2,22.5945,2
Si1,dup,F,1,GAPDH,18.0082,2
Si1,dup,F,2,DNAJH,25.0136,2
Si1,dup,F,2,dSir2,23.247,2
Si1,dup,F,2,GAPDH,18.0,2
SM21,dup,M,1,DNAJH,24.8407,2
SM21,dup,M,1,dSir2,22.3834,2
SM21,dup,M,1,GAPDH,17.6598,2
SM21,dup,M,2,DNAJH,24.2254,2
SM21,dup,M,2,dSir2,24.4741,2
SM21,dup,M,2,GAPDH,18.4178,2
SM21,dup,F,1,DNAJH,24.0488,2
SM21,dup,F,1,dSir2,22.8518,2
SM21,dup,F,1,GAPDH,18.1892,2
SM21,dup,F,2,DNAJH,24.7273,2
SM21,dup,F,2,dSir2,23.1048,2
SM21,dup,F,2,GAPDH,18.0439,2
ZW,dup,M,1,DNAJH,23.9683,2
ZW,dup,M,1,dSir2,24.1327,2
ZW,dup,M,1,GAPDH,17.716,2
ZW,dup,M,2,DNAJH,25.1975,2
ZW,dup,M,2,dSir2,24.0875,2
ZW,dup,M,2,GAPDH,18.4041,2
ZW,dup,F,1,DNAJH,24.1393,2
ZW,dup,F,1,dSir2,23.3264,2
ZW,dup,F,1,GAPDH,18.2345,2
ZW,dup,F,2,DNAJH,24.5605,2
ZW,dup,F,2,dSir2,24.1493,2
ZW,dup,F,2,GAPDH,18.6069,2
OR,dup,M,1,DNAJH,25.5915,2
OR,dup,M,1,dSir2,25.3251,2
OR,dup,M,1,GAPDH,18.481,2
OR,dup,M,2,DNAJH,23.8598,2
OR,dup,M,2,dSir2,24.51,2
OR,dup,M,2,GAPDH,17.9961,2
OR,dup,F,1,DNAJH,27.9406,2
OR,dup,F,1,dSir2,23.1721,2
OR,dup,F,1,GAPDH,18.6908,2
OR,dup,F,2,DNAJH,24.2797,2
OR,dup,F,2,dSir2,24.2385,2
OR,dup,F,2,GAPDH,18.3276,2
