genotype,food,no_fly,tube_w,tube_p_fly,fly_total,fly_per,BCA,mBCA,TAG,GLC,Glycogen,NADH,NAD,NADPH,NADP,NADH_BCA,NAD_BCA,NADPH_BCA,NADP_BCA,TAG_BCA,Glc_BCA,Glc_TAG,Gly_BCA,Block
2O,V,15,1.0115,1.0231,11.6,0.773333333333,2302.999,2428.4155,750.092,447.403,1769.663,0.797,6.924,0.886,0.423,0.000328197542801,0.00285124189003,0.000364846954732,0.00017418765446,0.308881243758,0.184236593779,0.596464167062,0.728731553558,1
22,IV,15,1.0098,1.0221,12.3,0.82,2861.672,2781.8615,382.977,514.125,941.573,0.847,9.292,1.054,0.909,0.000304472382971,0.00334020942452,0.000378882988963,0.000326759617616,0.137669326816,0.184813298577,1.342443541,0.338468683649,1
22,IV,15,1.0098,1.0221,12.3,0.82,2702.051,2781.8615,349.977,470.41,1014.607,0.904,8.303,1.02,0.937,0.000324962259983,0.00298469208478,0.000366660957061,0.000336824820359,0.12580676644,0.169099000795,1.34411689911,0.364722327118,1
22,IV,15,1.035,1.0481,13.1,0.873333333333,2667.847,2565.2335,490.224,465.809,777.528,0.921,9.472,1.314,0.402,0.000359031643708,0.00369245138893,0.000512234071479,0.000156710880316,0.191103071124,0.181585419027,0.950196236822,0.303102232214,1
22,IV,15,1.035,1.0481,13.1,0.873333333333,2462.62,2565.2335,444.85,419.793,886.517,0.905,8.766,1.223,0.41,0.00035279439474,0.00341723277822,0.000476759717975,0.000159829504799,0.173415012707,0.163647090996,0.943673148252,0.345589202698,1
22,V,15,1.0047,1.0176,12.9,0.86,2724.854,2627.9415,1092.459,527.93,2238.202,0.718,7.773,0.861,0.397,0.000273217649632,0.00295782839915,0.000327632863974,0.000151068811844,0.415709025486,0.200891077674,0.483249256952,0.851693996993,1
22,V,15,1.0047,1.0176,12.9,0.86,2531.029,2627.9415,1005.836,511.824,2248.315,0.698,7.29,0.811,0.38,0.000265607130143,0.0027740343535,0.000308606565253,0.000144599870279,0.382746724004,0.19476232633,0.508854326153,0.855542256173,1
22,V,15,1.0274,1.0403,12.9,0.86,2645.044,2542.4305,1203.831,525.629,1831.461,0.724,6.578,0.665,0.761,0.000284766879567,0.0025872880301,0.000261560738828,0.00029931988308,0.473496128999,0.206742721187,0.436630224674,0.720358334279,1
22,V,15,1.0274,1.0403,12.9,0.86,2439.817,2542.4305,1080.084,486.516,1956.18,0.713,3.989,0.613,0.755,0.000280440310954,0.00156897110855,0.000241107869025,0.000296959936565,0.424823412085,0.191358623176,0.450442743342,0.769413362528,1
OO,IV,10,1.026,1.0334,7.4,0.74,1353.167,1244.075,65.61,269.305,170.786,3.786,10.307,0.707,0.216,0.00304322488596,0.00828487028515,0.000568293712196,0.000173622972892,0.0527379780158,0.216470068123,4.10463344002,0.137279504853,2
OO,IV,10,1.026,1.0334,7.4,0.74,1134.982,1244.075,54.285,218.961,146.068,3.177,11.247,0.633,0.217,0.00255370455961,0.00904045174125,0.000508811767779,0.000174426782951,0.0436348290899,0.176003054478,4.03354517823,0.117410927798,2
OO,IV,10,1.026,1.0334,7.4,0.74,1184.57,1122.586,60.142,222.834,220.224,4.246,8.379,0.712,0.241,0.00378233827965,0.00746401611992,0.000634249848119,0.000214682883984,0.0535745145584,0.198500604853,3.70513118952,0.196175615944,2
OO,IV,10,1.026,1.0334,7.4,0.74,1060.601,1122.586,49.989,181.688,276.404,3.827,8.954,0.65,0.229,0.00340909293364,0.0079762263203,0.000579020226513,0.000203993279802,0.0445302186202,0.161847733715,3.63455960311,0.246220779522,2
OO,V,14,1.0277,1.0384,10.7,0.764285714286,1660.609,1536.64,629.142,630.424,867.416,5.358,19.383,0.596,0.784,0.00348682840483,0.0126138848397,0.000387859225323,0.000510204081633,0.409427061641,0.410261349438,1.00203769578,0.564488754686,2
OO,V,14,1.0277,1.0384,10.7,0.764285714286,1412.672,1536.64,556.504,485.202,730.338,4.875,17.782,0.55,0.746,0.0031725062474,0.0115720012495,0.000357923781758,0.000485474802166,0.36215639317,0.315755154102,0.87187513477,0.475282434402,2
OO,V,14,1.0277,1.0384,10.7,0.764285714286,1791.189,1635.815,659.603,550.552,683.146,6.144,19.264,0.667,0.704,0.00375592594517,0.0117763928073,0.000407747819894,0.000430366514551,0.403225914911,0.336561285964,0.834671764683,0.417618129189,2
OO,V,14,1.0277,1.0384,10.7,0.764285714286,1480.441,1635.815,620.55,473.1,591.012,5.461,16.398,0.593,0.652,0.00333839706813,0.0100243609455,0.00036251043058,0.000398578078817,0.379352188359,0.289213633571,0.762388204013,0.36129513423,2
O2,IV,15,1.0345,1.0472,12.7,0.846666666667,1653.997,1511.02,125.361,503.597,294.382,8.812,15.168,1.139,1.138,0.00583182221281,0.0100382523064,0.000753795449432,0.000753133644823,0.0829644875647,0.333282815582,4.01717440033,0.19482336435,2
O2,IV,15,1.0345,1.0472,12.7,0.846666666667,1368.043,1511.02,102.71,395.648,432.584,8.051,15.058,1.019,1.122,0.00532818890551,0.00996545379942,0.000674378896375,0.000742544771082,0.0679739513706,0.261841669865,3.85208840424,0.286286084896,2
O2,IV,15,1.0151,1.0276,12.5,0.833333333333,1530.029,1392.837,160.899,580.08,276.404,9.807,15.245,1.239,1.226,0.00704102490098,0.0109452864908,0.000889551325819,0.00088021785751,0.11551890135,0.416473715158,3.60524304067,0.198446767281,2
O2,IV,15,1.0151,1.0276,12.5,0.833333333333,1255.645,1392.837,120.284,437.278,414.607,9.007,14.264,1.172,1.166,0.00646665762038,0.010240968613,0.000841448066069,0.000837140311465,0.0863589924736,0.313947719654,3.63537960161,0.297670868881,2
O2,V,15,1.0103,1.0232,12.9,0.86,1867.223,1698.626,777.933,1055.44,829.213,8.997,18.735,0.869,0.82,0.00529663386761,0.0110295026686,0.000511589955647,0.000482743111197,0.457977800881,0.621349255222,1.35672352246,0.488166906665,2
O2,V,15,1.0103,1.0232,12.9,0.86,1530.029,1698.626,664.289,845.352,1005.618,8.512,18.941,0.782,0.784,0.00501110897867,0.0111507771575,0.000460372088971,0.000461549511193,0.391074315358,0.497668115288,1.27256660881,0.592018490239,2
O2,V,15,1.0116,1.0237,12.1,0.806666666667,2201.112,2025.903,750.206,1017.683,1058.427,7.221,17.535,0.826,0.801,0.00356433649587,0.00865539959218,0.000407719421907,0.000395379245699,0.370306969287,0.502335501749,1.35653807088,0.522447027326,2
O2,V,15,1.0116,1.0237,12.1,0.806666666667,1850.694,2025.903,638.905,803.238,1185.393,6.248,17.592,0.744,0.749,0.00308405683786,0.00868353519394,0.000367243643945,0.000369711679187,0.315368011203,0.396483938273,1.25721038339,0.585118339822,2
2O,IV,15,1.0422,1.0532,11.0,0.733333333333,1850.694,1624.245,285.477,529.252,568.539,8.632,13.77,1.201,1.037,0.00531446918414,0.00847778506321,0.000739420469203,0.000638450480069,0.17575981456,0.325844931029,1.85392168196,0.350032784463,2
2O,IV,15,1.0422,1.0532,11.0,0.733333333333,1397.796,1624.245,256.578,436.31,679.775,9.729,14.909,1.036,1.009,0.00598985990414,0.00917903395116,0.000637834809404,0.000621211701437,0.157967547999,0.268623268041,1.70049653517,0.418517526605,2
2O,IV,15,1.0168,1.0276,10.8,0.72,2799.467,2443.264,306.566,596.055,644.944,6.192,12.899,1.036,1.006,0.00253431475272,0.00527941311295,0.000424022946354,0.000411744289606,0.12547395615,0.243958491592,1.94429584494,0.263968199916,2
2O,IV,15,1.0168,1.0276,10.8,0.72,2087.061,2443.264,179.644,436.794,711.236,8.173,13.75,0.967,0.938,0.00334511538663,0.00562771767603,0.000395782035834,0.000383912667645,0.0735262337594,0.178774786515,2.43144218566,0.29110075702,2
2O,V,13,1.0027,1.012,9.3,0.715384615385,2333.345,2051.523,795.116,584.437,649.438,5.332,15.169,0.6,0.76,0.00259904470971,0.00739401898005,0.000292465646254,0.000370456485255,0.387573524645,0.284879574833,0.735033630313,0.31656384062,2
2O,V,13,1.0027,1.012,9.3,0.715384615385,1769.701,2051.523,463.167,437.763,715.73,7.022,15.431,0.596,0.613,0.00342282294666,0.00752172897891,0.000290515875279,0.000298802401923,0.225767393298,0.213384397835,0.945151532816,0.348877394989,2
2O,V,13,1.017,1.026,9.0,0.692307692308,2325.08,2065.573,504.954,674.475,523.596,2.858,11.926,0.535,0.5,0.00138363543675,0.00577370056638,0.000259008033122,0.000242063582357,0.244461948331,0.326531669421,1.33571572856,0.253487046936,2
2O,V,13,1.017,1.026,9.0,0.692307692308,1806.065,2065.573,469.416,513.762,652.809,5.809,11.721,0.508,0.484,0.00281229469982,0.00567445449761,0.000245936599675,0.000234317547722,0.227257037151,0.248726140398,1.09447057621,0.31604257027,2
22,IV,15,1.0223,1.0323,10.0,0.666666666667,2116.813,1887.885,83.965,184.592,152.808,2.683,11.165,0.416,0.415,0.00142116707321,0.00591402548354,0.00022035240494,0.000219822711659,0.044475696348,0.0977771421458,2.19843982612,0.0809413708992,2
22,IV,15,1.0223,1.0323,10.0,0.666666666667,1658.956,1887.885,61.705,111.981,128.09,3.951,10.359,0.365,0.399,0.00209281815365,0.00548709269897,0.000193338047604,0.000211347619161,0.0326847239106,0.0593155833115,1.81478000162,0.0678484123768,2
22,IV,15,1.0223,1.0323,10.0,0.666666666667,2057.308,1897.802,65.61,97.459,116.854,3.803,10.936,0.435,0.48,0.00200389713995,0.0057624557251,0.000229212531128,0.000252924172279,0.0345715727984,0.0513536185545,1.48542905045,0.0615733358907,2
22,IV,15,1.0223,1.0323,10.0,0.666666666667,1738.296,1897.802,58.971,85.841,226.966,6.192,10.323,0.413,0.479,0.0032627218224,0.00543945048008,0.000217620173232,0.00025239724692,0.0310733153406,0.0452317997346,1.45564769124,0.119594141012,2
22,V,10,1.0191,1.0275,8.4,0.84,2103.59,1801.107,678.348,510.858,534.831,3.001,14.077,0.533,0.431,0.00166619751075,0.00781574887,0.000295929114706,0.000239297276619,0.37662837355,0.283635564128,0.753091333652,0.296945711721,2
22,V,10,1.0191,1.0275,8.4,0.84,1498.623,1801.107,605.71,401.941,646.067,5.39,13.905,0.489,0.437,0.00299260399299,0.00772025204499,0.000271499694355,0.000242628561213,0.336298731835,0.22316331012,0.66358653481,0.358705507224,2
22,V,10,1.0258,1.0337,7.9,0.79,1961.439,1677.138,413.18,396.616,505.618,4.186,13.375,0.49,0.449,0.00249591864235,0.00797489532764,0.000292164389573,0.000267717981466,0.246360168334,0.236483819459,0.959910934702,0.3014766823,2
22,V,10,1.0258,1.0337,7.9,0.79,1392.837,1677.138,362.802,308.999,601.124,5.436,13.144,0.466,0.411,0.00324123596269,0.00783716068684,0.000277854297023,0.000245060334928,0.216322091563,0.184241845334,0.851701479044,0.358422503098,2
OO,IV,15,1.0281,1.0392,11.1,0.74,910.632,923.8385,64.208,325.988,460.674,2.008,10.915,0.574,0.551,0.00217354007221,0.0118148356017,0.000621320717853,0.000596424591528,0.0695013251775,0.352862540368,5.07706204834,0.498652091248,3
OO,IV,15,1.0281,1.0392,11.1,0.74,937.045,923.8385,56.255,263.925,585.393,1.934,10.413,0.539,0.503,0.00209343949186,0.0112714505836,0.000583435308228,0.000544467458327,0.0608926776704,0.285683049581,4.6915829704,0.633652959906,3
