"genotype","food","no-fly","tube-w","tube+fly","fly_total","fly_per","BCA","mBCA","TAG","GLC","Glycogen","NADH","NAD+","NADPH","NADP+","NADH/BCA","NAD+/BCA","NADPH/BCA","NADP+/BCA","TAG/BCA","Glc/BCA","Glc/TAG","Gly/BCA"
"00","IV",15,1.0281,1.0392,11.09999999999989,0.7399999999999926,910.632,923.8385,64.208,325.988,460.674,2.008,10.915,0.574,0.5510000000000001,0.002173540072209591,0.01181483560167713,0.0006213207178527415,0.0005964245915276318,0.06950132517750668,0.352862540368257,5.077062048342886,0.4986520912475503
"00","IV",15,1.0281,1.0392,11.09999999999989,0.7399999999999926,937.045,923.8385,56.255,263.925,585.393,1.934,10.413,0.539,0.503,0.002093439491859237,0.01127145058362474,0.0005834353082275745,0.0005444674583274025,0.0608926776703937,0.2856830495806356,4.691582970402631,0.633652959905871
"00","IV",15,1.027,1.0376,10.60000000000017,0.7066666666666777,1055.906,1141.75,80.115,309.438,424.719,1.131,11.845,0.409,0.916,0.0009905846288592074,0.01037442522443617,0.000358222027589227,0.0008022772060433546,0.07016860083205605,0.2710208014013575,3.862422767272046,0.3719894898182614
"00","IV",15,1.027,1.0376,10.60000000000017,0.7066666666666777,1227.594,1141.75,72.16200000000001,284.613,419.101,1.085,10.61,0.385,0.829,0.000950295598861397,0.009292752353842785,0.0003372016641121086,0.0007260783884388,0.06320297788482593,0.2492778629297132,3.944084144009312,0.3670689730676593
"00","V",15,1.0277,1.0384,10.69999999999993,0.7133333333333288,1029.493,1148.354,418.126,799.73,921.348,0.8080000000000001,10.246,0.357,0.477,0.000703615783982988,0.008922335795408038,0.0003108797461409984,0.0004153771398018382,0.3641089768486025,0.6964141719365284,1.912653123699555,0.8023205387885618
"00","V",15,1.0277,1.0384,10.69999999999993,0.7133333333333288,1267.215,1148.354,378.36,671.468,913.483,0.781,9.513,0.338,0.426,0.000680103870409299,0.008284030882463074,0.0002943343254780321,0.0003709657474959813,0.3294802822126279,0.5847221327221398,1.774680198752511,0.7954716054457076
"00","V",15,1.024,1.0346,10.59999999999994,0.7066666666666629,1214.387,1405.8855,469.822,685.949,887.64,0.777,10.927,0.342,0.494,0.000552676587104711,0.007772325697932015,0.0002432630537835407,0.0003513799665762255,0.3341822644873996,0.487912422455456,1.460018900775187,0.6313743188901231
"00","V",15,1.024,1.0346,10.59999999999994,0.7066666666666629,1597.384,1405.8855,680.581,625.956,926.966,0.754,9.781000000000001,0.327,0.431,0.0005363167910900283,0.006957181079113485,0.0002325936216000521,0.0003065683514055732,0.484094188324725,0.4452396727898538,0.9197376947049654,0.6593467248933146
"02","IV",13,1.0227,1.0334,10.70000000000015,0.8230769230769349,1597.384,1749.262,211.343,588.718,719.101,1.067,13.748,0.663,0.761,0.000609971519417903,0.007859314385152137,0.0003790169797320241,0.0004350406056954304,0.1208183794080018,0.3365522145910675,2.785604443960765,0.4110882189174634
"02","IV",13,1.0227,1.0334,10.70000000000015,0.8230769230769349,1901.14,1749.262,179.53,539.068,897.753,1.019,12.16,0.63,0.631,0.0005825313760888876,0.006951502976683881,0.0003601518811933261,0.0003607235508460139,0.1026318527470442,0.3081688163351173,3.002662507658887,0.5132181457094477
"02","IV",13,1.0286,1.0392,10.59999999999994,0.8153846153846109,1504.937,1703.0385,247.132,588.718,685.393,1.063,14.87,0.593,0.951,0.0006241784903864475,0.008731452635979749,0.0003482011710246127,0.0005584136823683081,0.145112397635168,0.3456868414894906,2.382200605344512,0.4024530273390766
"02","IV",13,1.0286,1.0392,10.59999999999994,0.8153846153846109,1901.14,1703.0385,191.46,534.931,760.674,1.002,12.809,0.5620000000000001,0.8080000000000001,0.0005883601574479966,0.00752126273128881,0.0003299984116624492,0.0004744461149880053,0.1124225905638657,0.3141038796245652,2.793956962289773,0.4466569604856261
"02","V",13,1.0355,1.0456,10.1,0.7769230769230767,1148.354,1333.2485,545.377,659.055,1294.382,0.707,10.817,0.299,0.443,0.000530283739302913,0.008113266206562391,0.0002242642688141033,0.0003322711407513303,0.4090587763646461,0.494322701281869,1.20843929978712,0.9708482702211928
"02","V",13,1.0355,1.0456,10.1,0.7769230769230767,1518.143,1333.2485,386.313,586.649,1369.663,0.665,9.307,0.284,0.37,0.0004987817349878886,0.006980694146665081,0.0002130135529873088,0.0002775176570609305,0.2897531855464304,0.4400147459382103,1.518584670979232,1.027312612764987
"02","V",13,1.0096,1.0198,10.19999999999999,0.7846153846153836,1227.594,1300.2315,851.5750000000001,669.399,1730.337,0.67,10.308,0.326,0.343,0.0005152928536187595,0.007927819007615184,0.0002507245825070382,0.00026379917730035,0.6549410624185001,0.5148306282381253,0.7860716906907788,1.330791478286751
"02","V",13,1.0096,1.0198,10.19999999999999,0.7846153846153836,1372.869,1300.2315,545.377,570.1,1832.584,0.644,9.606,0.303,0.29,0.0004952964145231062,0.007387915152032543,0.0002330354248454987,0.000223037205297672,0.4194460755642361,0.4384603818627684,1.04533194469147,1.409429013218031
"20","IV",15,1.0015,1.0124,10.89999999999991,0.7266666666666607,1042.699,1022.889,406.196,764.561,1110.112,1.596,12.877,0.627,0.712,0.001560286600012318,0.01258885372704174,0.0006129697357191249,0.0006960677062711594,0.3971066264276965,0.7474525583909887,1.88224650168884,1.085271226887766
"20","IV",15,1.0015,1.0124,10.89999999999991,0.7266666666666607,1003.079,1022.889,362.453,700.43,1131.461,1.541,12.127,0.594,0.672,0.001506517324949237,0.01185563633981791,0.0005807081706812763,0.000656962778952555,0.3543424555352536,0.684756606044253,1.932471244547569,1.106142504220888
