No,Sex,Genotype,Food,Rep,time
1.0,M,Dup,I,1.0,11.0
1.0,M,Dup,I,1.0,16.0
1.0,M,Dup,I,1.0,16.0
1.0,M,Dup,I,1.0,20.0
1.0,M,Dup,I,1.0,38.0
1.0,M,Dup,I,1.0,43.0
1.0,M,Dup,I,1.0,43.0
1.0,M,Dup,I,1.0,45.0
1.0,M,Dup,I,1.0,45.0
1.0,M,Dup,I,1.0,50.0
1.0,M,Dup,I,1.0,50.0
1.0,M,Dup,I,1.0,50.0
1.0,M,Dup,I,1.0,52.0
1.0,M,Dup,I,1.0,52.0
1.0,M,Dup,I,1.0,52.0
1.0,M,Dup,I,1.0,52.0
1.0,M,Dup,I,1.0,61.0
1.0,M,Dup,I,1.0,61.0
1.0,M,Dup,I,1.0,61.0
1.0,M,Dup,I,1.0,61.0
1.0,M,Dup,I,1.0,61.0
1.0,M,Dup,I,1.0,64.0
1.0,M,Dup,I,1.0,64.0
1.0,M,Dup,I,1.0,64.0
1.0,M,Dup,I,1.0,64.0
1.0,M,Dup,I,1.0,64.0
1.0,M,Dup,I,1.0,64.0
1.0,M,Dup,I,1.0,66.0
1.0,M,Dup,I,1.0,66.0
1.0,M,Dup,I,1.0,68.0
1.0,M,Dup,I,1.0,68.0
1.0,M,Dup,I,1.0,68.0
1.0,M,Dup,I,1.0,68.0
1.0,M,Dup,I,1.0,71.0
1.0,M,Dup,I,1.0,71.0
1.0,M,Dup,I,1.0,71.0
1.0,M,Dup,I,1.0,71.0
1.0,M,Dup,I,1.0,71.0
1.0,M,Dup,I,1.0,73.0
1.0,M,Dup,I,1.0,73.0
1.0,M,Dup,I,1.0,73.0
1.0,M,Dup,I,1.0,73.0
1.0,M,Dup,I,1.0,75.0
1.0,M,Dup,I,1.0,75.0
1.0,M,Dup,I,1.0,75.0
1.0,M,Dup,I,1.0,75.0
1.0,M,Dup,I,1.0,78.0
1.0,M,Dup,I,1.0,78.0
1.0,M,Dup,I,1.0,80.0
1.0,M,Dup,I,1.0,83.0
1.0,M,Dup,I,1.0,90.0
2.0,M,Dup,I,2.0,9.0
2.0,M,Dup,I,2.0,9.0
2.0,M,Dup,I,2.0,9.0
2.0,M,Dup,I,2.0,9.0
