"genotype","food","no-fly","tube-w","tube+fly","fly_total","fly_per","BCA","mBCA","TAG","GLC","Glycogen","NADH","NAD+","NADPH","NADP+","NADH/BCA","NAD+/BCA","NADPH/BCA","NADP+/BCA","TAG/BCA","Glc/BCA","Glc/TAG","Gly/BCA"
"00","IV",15,1.0393,1.0519,12.60000000000017,0.8400000000000111,2234.59,2046.4655,201.481,532.531,116.854,0.672,5.453,0.79,1.81,0.000328371037772198,0.002664594150255648,0.0003860314283333875,0.0008844517535233308,0.09845316229372056,0.2602198766605154,2.643082970602687,0.05710040066641729
"00","IV",15,1.0393,1.0519,12.60000000000017,0.8400000000000111,1858.341,2046.4655,180.857,514.125,180.899,0.641,5.075,0.792,1.687,0.0003132229690654448,0.002479885441508787,0.0003870087230886619,0.0008243481260739553,0.08837529877733097,0.2512258330277251,2.842715515573077,0.08839582196719173
"00","IV",15,1.0413,1.0535,12.20000000000021,0.8133333333333473,1630.312,1561.903,176.732,592.352,119.101,0.387,7.241,0.743,1.728,0.0002477746697458165,0.0046360113272079,0.0004757017561269811,0.001106342711423181,0.1131517130065056,0.3792501839102685,3.351696353801235,0.0762537750423682
"00","IV",15,1.0413,1.0535,12.20000000000021,0.8133333333333473,1493.494,1561.903,160.232,594.652,169.663,0.64,5.602,0.717,1.611,0.0004097565597863633,0.003586650387380011,0.00045905539588566,0.001031434090337236,0.1025876766995134,0.3807227465470008,3.7111937690349,0.1086258237547402
"00","V",15,1.0171,1.0294,12.3000000000002,0.8200000000000133,1938.152,1875.4435,1042.96,504.922,617.978,0.628,4.826,0.454,0.987,0.0003348541291699804,0.002573258005373129,0.0002420760742725654,0.0005262755182974054,0.5561137938839533,0.2692280519247848,0.4841240316023625,0.3295103264907741
"00","V",15,1.0171,1.0294,12.3000000000002,0.8200000000000133,1812.735,1875.4435,956.337,514.125,834.831,0.605,4.077,0.456,0.901,0.0003225903632927358,0.002173885803544602,0.0002431424886966736,0.0004804196980607521,0.5099257855541903,0.2741351578973187,0.5375981479332077,0.4451379100463437
"00","V",15,1.008,1.0196,11.60000000000006,0.773333333333337,2154.78,2074.9695,704.7190000000001,470.41,723.596,0.743,3.206,0.5629999999999999,0.815,0.000358077552465229,0.001545082951821701,0.0002713292894184709,0.0003927768576839322,0.3396286065891571,0.226706946776808,0.6675142858359148,0.3487260897087885
"00","V",15,1.008,1.0196,11.60000000000006,0.773333333333337,1995.159,2074.9695,646.97,498.02,904.494,0.726,5.102,0.5590000000000001,0.782,0.0003498846609552574,0.002458831322580886,0.0002694015502396541,0.0003768730094586932,0.3117973541297836,0.2400131664585913,0.7697729415583411,0.4359071302011909
"02","IV",15,1.0212,1.0351,13.8999999999998,0.9266666666666534,2074.97,1978.057,358.227,663.676,853.933,1.128,7.557,1.192,1.853,0.0005702565699572863,0.003820415690751076,0.0006026115526498984,0.0009367778582720316,0.1811004435160362,0.3355191483359681,1.852668838473929,0.431702928682035
"02","IV",15,1.0212,1.0351,13.8999999999998,0.9266666666666534,1881.144,1978.057,325.228,665.977,1037.079,1.09,10.705,1.179,1.771,0.0005510457989835481,0.005411876401943928,0.0005960394467904617,0.0008953230366971225,0.1644179111117627,0.3366824110730884,2.047723443245969,0.5242917671229899
